You Can't Stop The Rain,Martin Clancy & The Witness,Protection,"INSERT INTO  `DISCOG` (  `ID` ,  `TRACK` ,  `ARTIST` ,  `LABEL` )","VALUES ('25','You Can't Stop The Rain','Martin Clancy & The Witness','Protection')",,25
Better Than Today,Kylie Minogue,EMI UK,"INSERT INTO  `DISCOG` (  `ID` ,  `TRACK` ,  `ARTIST` ,  `LABEL` )","VALUES ('26','Better Than Today','Kylie Minogue','EMI UK')",,26
Predator,Julissa Veloz,Carnillo,"INSERT INTO  `DISCOG` (  `ID` ,  `TRACK` ,  `ARTIST` ,  `LABEL` )","VALUES ('27','Predator','Julissa Veloz','Carnillo')",,27
Last Days Of Disco,Robbie Williams,Capitol,"INSERT INTO  `DISCOG` (  `ID` ,  `TRACK` ,  `ARTIST` ,  `LABEL` )","VALUES ('28','Last Days Of Disco','Robbie Williams','Capitol')",,28
Move On Fast,Yoko Ono,Twisted/Mind Train,"INSERT INTO  `DISCOG` (  `ID` ,  `TRACK` ,  `ARTIST` ,  `LABEL` )","VALUES ('29','Move On Fast','Yoko Ono','Twisted/Mind Train')",,29
Into The Light,Sk8,Live Music / SK8,"INSERT INTO  `DISCOG` (  `ID` ,  `TRACK` ,  `ARTIST` ,  `LABEL` )","VALUES ('30','Into The Light','Sk8','Live Music / SK8')",,30
Get Outta My Way,Kylie Minogue,EMI UK,"INSERT INTO  `DISCOG` (  `ID` ,  `TRACK` ,  `ARTIST` ,  `LABEL` )","VALUES ('31','Get Outta My Way','Kylie Minogue','EMI UK')",,31
You Lost Me,Christina Aguilera,RCA,"INSERT INTO  `DISCOG` (  `ID` ,  `TRACK` ,  `ARTIST` ,  `LABEL` )","VALUES ('32','You Lost Me','Christina Aguilera','RCA')",,32
I told you so,Solange,Interscope Geffen,"INSERT INTO  `DISCOG` (  `ID` ,  `TRACK` ,  `ARTIST` ,  `LABEL` )","VALUES ('33','I told you so','Solange','Interscope Geffen')",,33
Reloaded,DJ Yiannis Compilation,Music Plant Group,"INSERT INTO  `DISCOG` (  `ID` ,  `TRACK` ,  `ARTIST` ,  `LABEL` )","VALUES ('34','Reloaded','DJ Yiannis Compilation','Music Plant Group')",,34
I Need Love,DJ Yiannis & Georgie Porgie,Music Plant Group,"INSERT INTO  `DISCOG` (  `ID` ,  `TRACK` ,  `ARTIST` ,  `LABEL` )","VALUES ('35','I Need Love','DJ Yiannis & Georgie Porgie','Music Plant Group')",,35
Do It Again 2010,Razor N' Guido Featuring Big Anthony & Sk8,RNG,"INSERT INTO  `DISCOG` (  `ID` ,  `TRACK` ,  `ARTIST` ,  `LABEL` )","VALUES ('36','Do It Again 2010','Razor N' Guido Featuring Big Anthony & Sk8','RNG')",,36
I Wanna Be The One,Tony Cruz,Music Plant Group,"INSERT INTO  `DISCOG` (  `ID` ,  `TRACK` ,  `ARTIST` ,  `LABEL` )","VALUES ('37','I Wanna Be The One','Tony Cruz','Music Plant Group')",,37
Give Me Luv 2010,Jean Philippe Starring Dihann Moore,Night Machine,"INSERT INTO  `DISCOG` (  `ID` ,  `TRACK` ,  `ARTIST` ,  `LABEL` )","VALUES ('38','Give Me Luv 2010','Jean Philippe Starring Dihann Moore','Night Machine')",,38
Smells Like A Teen Spirit 2010,Nirvana Vs DJ Yiannis,DGC/Geffen,"INSERT INTO  `DISCOG` (  `ID` ,  `TRACK` ,  `ARTIST` ,  `LABEL` )","VALUES ('39','Smells Like A Teen Spirit 2010','Nirvana Vs DJ Yiannis','DGC/Geffen')",,39
Hey Boy,Radka,Six Avenue,"INSERT INTO  `DISCOG` (  `ID` ,  `TRACK` ,  `ARTIST` ,  `LABEL` )","VALUES ('40','Hey Boy','Radka','Six Avenue')",,40
Beautiful U R,Deborah Cox,Deco,"INSERT INTO  `DISCOG` (  `ID` ,  `TRACK` ,  `ARTIST` ,  `LABEL` )","VALUES ('41','Beautiful U R','Deborah Cox','Deco')",,41
Better In Time,Leona Lewis,BMG,"INSERT INTO  `DISCOG` (  `ID` ,  `TRACK` ,  `ARTIST` ,  `LABEL` )","VALUES ('42','Better In Time','Leona Lewis','BMG')",,42
Candlelight,Jody Watley,Avitone,"INSERT INTO  `DISCOG` (  `ID` ,  `TRACK` ,  `ARTIST` ,  `LABEL` )","VALUES ('43','Candlelight','Jody Watley','Avitone')",,43
I Like To Move In Here,Moby,Mute,"INSERT INTO  `DISCOG` (  `ID` ,  `TRACK` ,  `ARTIST` ,  `LABEL` )","VALUES ('44','I Like To Move In Here','Moby','Mute')",,44
Is This Love 2010,Bob Marley,Tuff Gong UK,"INSERT INTO  `DISCOG` (  `ID` ,  `TRACK` ,  `ARTIST` ,  `LABEL` )","VALUES ('45','Is This Love 2010','Bob Marley','Tuff Gong UK')",,45
Don't Stop The Music,Rihanna,Island,"INSERT INTO  `DISCOG` (  `ID` ,  `TRACK` ,  `ARTIST` ,  `LABEL` )","VALUES ('46','Don't Stop The Music','Rihanna','Island')",,46
Mika,Relax,Casablanca,"INSERT INTO  `DISCOG` (  `ID` ,  `TRACK` ,  `ARTIST` ,  `LABEL` )","VALUES ('47','Mika','Relax','Casablanca')",,47
Edge Of Seventeen,Stevie Nicks,WB,"INSERT INTO  `DISCOG` (  `ID` ,  `TRACK` ,  `ARTIST` ,  `LABEL` )","VALUES ('48','Edge Of Seventeen','Stevie Nicks','WB')",,48
It's Got To Be Love,Rachel Panay,Act 2,"INSERT INTO  `DISCOG` (  `ID` ,  `TRACK` ,  `ARTIST` ,  `LABEL` )","VALUES ('49','It's Got To Be Love','Rachel Panay','Act 2')",,49
Into The Groove,Madonna,Maverick,"INSERT INTO  `DISCOG` (  `ID` ,  `TRACK` ,  `ARTIST` ,  `LABEL` )","VALUES ('50','Into The Groove','Madonna','Maverick')",,50
Always Be Here For You,Joyce Sims,JS,"INSERT INTO  `DISCOG` (  `ID` ,  `TRACK` ,  `ARTIST` ,  `LABEL` )","VALUES ('51','Always Be Here For You','Joyce Sims','JS')",,51
Ooh La Lishious,Jay Men,Marian,"INSERT INTO  `DISCOG` (  `ID` ,  `TRACK` ,  `ARTIST` ,  `LABEL` )","VALUES ('52','Ooh La Lishious','Jay Men','Marian')",,52
Tina,Sk8,SK8,"INSERT INTO  `DISCOG` (  `ID` ,  `TRACK` ,  `ARTIST` ,  `LABEL` )","VALUES ('53','Tina','Sk8','SK8')",,53
DreamGirls Mega Mix,Various,Altair,"INSERT INTO  `DISCOG` (  `ID` ,  `TRACK` ,  `ARTIST` ,  `LABEL` )","VALUES ('54','DreamGirls Mega Mix','Various','Altair')",,54
Party People,Altar Featuring Jeanie Tracy,Mama House,"INSERT INTO  `DISCOG` (  `ID` ,  `TRACK` ,  `ARTIST` ,  `LABEL` )","VALUES ('55','Party People','Altar Featuring Jeanie Tracy','Mama House')",,55
One Night Only (Dream Girls),Scherrie Payne,Altair,"INSERT INTO  `DISCOG` (  `ID` ,  `TRACK` ,  `ARTIST` ,  `LABEL` )","VALUES ('56','One Night Only (Dream Girls)','Scherrie Payne','Altair')",,56
Black Horse And The Cherry Tree,KT Tunstall,Virgin/EMI UK,"INSERT INTO  `DISCOG` (  `ID` ,  `TRACK` ,  `ARTIST` ,  `LABEL` )","VALUES ('57','Black Horse And The Cherry Tree','KT Tunstall','Virgin/EMI UK')",,57
Love Will Find A Way,Vernessa Mitchell,Junior Vasquez Music,"INSERT INTO  `DISCOG` (  `ID` ,  `TRACK` ,  `ARTIST` ,  `LABEL` )","VALUES ('58','Love Will Find A Way','Vernessa Mitchell','Junior Vasquez Music')",,58
Perfect Love,Simply Red,Verve/SR,"INSERT INTO  `DISCOG` (  `ID` ,  `TRACK` ,  `ARTIST` ,  `LABEL` )","VALUES ('59','Perfect Love','Simply Red','Verve/SR')",,59
Try Yazz 2006,Two Without Hats,MicMac,"INSERT INTO  `DISCOG` (  `ID` ,  `TRACK` ,  `ARTIST` ,  `LABEL` )","VALUES ('60','Try Yazz 2006','Two Without Hats','MicMac')",,60
Nation,Sk8,Tommy Boy Silver,"INSERT INTO  `DISCOG` (  `ID` ,  `TRACK` ,  `ARTIST` ,  `LABEL` )","VALUES ('61','Nation','Sk8','Tommy Boy Silver')",,61
How Can I Lie,Angel Faith,Midas,"INSERT INTO  `DISCOG` (  `ID` ,  `TRACK` ,  `ARTIST` ,  `LABEL` )","VALUES ('62','How Can I Lie','Angel Faith','Midas')",,62
Feels Good,Dolce,Act 2,"INSERT INTO  `DISCOG` (  `ID` ,  `TRACK` ,  `ARTIST` ,  `LABEL` )","VALUES ('63','Feels Good','Dolce','Act 2')",,63
The Walk Of Shame,Rachel Panay,Act 2,"INSERT INTO  `DISCOG` (  `ID` ,  `TRACK` ,  `ARTIST` ,  `LABEL` )","VALUES ('64','The Walk Of Shame','Rachel Panay','Act 2')",,64
Toxic,Britney Spears,Jive,"INSERT INTO  `DISCOG` (  `ID` ,  `TRACK` ,  `ARTIST` ,  `LABEL` )","VALUES ('65','Toxic','Britney Spears','Jive')",,65
Me,Myself And I,Beyonce'- Columbia,"INSERT INTO  `DISCOG` (  `ID` ,  `TRACK` ,  `ARTIST` ,  `LABEL` )","VALUES ('66','Me','Myself And I','Beyonce'- Columbia')",,66
Me Against the Music,Britney Spears Featuring Madonna,Jive,"INSERT INTO  `DISCOG` (  `ID` ,  `TRACK` ,  `ARTIST` ,  `LABEL` )","VALUES ('67','Me Against the Music','Britney Spears Featuring Madonna','Jive')",,67
Crazy in Love,Beyonce',Columbia,"INSERT INTO  `DISCOG` (  `ID` ,  `TRACK` ,  `ARTIST` ,  `LABEL` )","VALUES ('68','Crazy in Love','Beyonce'','Columbia')",,68
No Way No How,Jocelyn Enriquez,Next Plateau,"INSERT INTO  `DISCOG` (  `ID` ,  `TRACK` ,  `ARTIST` ,  `LABEL` )","VALUES ('69','No Way No How','Jocelyn Enriquez','Next Plateau')",,69
Automatic Lover,Jay Jay Johanson,RCA/BMG Sweden,"INSERT INTO  `DISCOG` (  `ID` ,  `TRACK` ,  `ARTIST` ,  `LABEL` )","VALUES ('70','Automatic Lover','Jay Jay Johanson','RCA/BMG Sweden')",,70
Don't You Want Me,Alcazar,BMG Sweden,"INSERT INTO  `DISCOG` (  `ID` ,  `TRACK` ,  `ARTIST` ,  `LABEL` )","VALUES ('71','Don't You Want Me','Alcazar','BMG Sweden')",,71
Candi,Joi Cardwell,Nomad,"INSERT INTO  `DISCOG` (  `ID` ,  `TRACK` ,  `ARTIST` ,  `LABEL` )","VALUES ('72','Candi','Joi Cardwell','Nomad')",,72
You Got The Love,The Source Featuring Candi Staton,TEC,"INSERT INTO  `DISCOG` (  `ID` ,  `TRACK` ,  `ARTIST` ,  `LABEL` )","VALUES ('73','You Got The Love','The Source Featuring Candi Staton','TEC')",,73
Who Do You Love,Deborah Cox,Arista,"INSERT INTO  `DISCOG` (  `ID` ,  `TRACK` ,  `ARTIST` ,  `LABEL` )","VALUES ('74','Who Do You Love','Deborah Cox','Arista')",,74
Show Me Love,Robin S,Champion UK,"INSERT INTO  `DISCOG` (  `ID` ,  `TRACK` ,  `ARTIST` ,  `LABEL` )","VALUES ('75','Show Me Love','Robin S','Champion UK')",,75
Yes,Amber,Tommy Boy Silver,"INSERT INTO  `DISCOG` (  `ID` ,  `TRACK` ,  `ARTIST` ,  `LABEL` )","VALUES ('76','Yes','Amber','Tommy Boy Silver')",,76
One More Time,Daft Punk,Virgin,"INSERT INTO  `DISCOG` (  `ID` ,  `TRACK` ,  `ARTIST` ,  `LABEL` )","VALUES ('77','One More Time','Daft Punk','Virgin')",,77
Secret,Madonna,Maverick,"INSERT INTO  `DISCOG` (  `ID` ,  `TRACK` ,  `ARTIST` ,  `LABEL` )","VALUES ('78','Secret','Madonna','Maverick')",,78
So Fabulous,So Fierce,Jocelyn Enriquez,"INSERT INTO  `DISCOG` (  `ID` ,  `TRACK` ,  `ARTIST` ,  `LABEL` )","VALUES ('79','So Fabulous','So Fierce','Jocelyn Enriquez')",,79
Dancefloor,Octavhia,Groovelicious,"INSERT INTO  `DISCOG` (  `ID` ,  `TRACK` ,  `ARTIST` ,  `LABEL` )","VALUES ('80','Dancefloor','Octavhia','Groovelicious')",,80
Believer,Ke',Junior Vasquez Music,"INSERT INTO  `DISCOG` (  `ID` ,  `TRACK` ,  `ARTIST` ,  `LABEL` )","VALUES ('81','Believer','Ke'','Junior Vasquez Music')",,81
Let The Music Play,Shannon,Contagious,"INSERT INTO  `DISCOG` (  `ID` ,  `TRACK` ,  `ARTIST` ,  `LABEL` )","VALUES ('82','Let The Music Play','Shannon','Contagious')",,82
Give Me Tonight,Shannon,Contagious,"INSERT INTO  `DISCOG` (  `ID` ,  `TRACK` ,  `ARTIST` ,  `LABEL` )","VALUES ('83','Give Me Tonight','Shannon','Contagious')",,83
Heaven Is A Place on Earth,Belinda Carlisle,MCA UK,"INSERT INTO  `DISCOG` (  `ID` ,  `TRACK` ,  `ARTIST` ,  `LABEL` )","VALUES ('84','Heaven Is A Place on Earth','Belinda Carlisle','MCA UK')",,84
He Is The Joy,Donna Allen,Soulforic,"INSERT INTO  `DISCOG` (  `ID` ,  `TRACK` ,  `ARTIST` ,  `LABEL` )","VALUES ('85','He Is The Joy','Donna Allen','Soulforic')",,85
It's Over Now,Deborah Cox,Arista,"INSERT INTO  `DISCOG` (  `ID` ,  `TRACK` ,  `ARTIST` ,  `LABEL` )","VALUES ('86','It's Over Now','Deborah Cox','Arista')",,86
